#----------------------------------------------------------------
# Generated using instance generator version v. 1.0.0
# Data set: 2 (=DEEPSEA)
# Vessel types: 3,4
# Vessel count: 12,8
# Number of cargoes: 80
# Cargo sizes: 2
# Time windows: 2
# Regional flow: 1
# Market condition: 1
# Instance number: 3 (out of 5)
#----------------------------------------------------------------

# number of ports
86
# number of vessels
20
# for each vessel: vessel index, home port, starting time, capacity
1,13,0,130000
2,78,0,130000
3,73,0,130000
4,41,0,130000
5,33,491,130000
6,45,755,130000
7,41,0,130000
8,30,40,130000
9,24,756,130000
10,62,0,130000
11,58,0,130000
12,72,117,130000
13,62,0,71000
14,72,0,71000
15,75,0,71000
16,12,0,71000
17,19,0,71000
18,56,669,71000
19,71,0,71000
20,33,0,71000
# number of cargoes
80
# for each vessel, vessel index, and then a list of cargoes that can be transported using that vessel
1,1,2,3,4,5,6,8,9,10,11,12,13,16,17,18,19,20,21,22,23,25,26,28,29,30,31,32,33,35,36,37,38,39,40,41,42,43,44,45,49,51,52,53,54,56,57,58,59,61,62,63,64,65,66,67,68,69,72,74,75,76,78,79,80
2,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,67,68,69,70,71,72,73,74,75,76,77,78,79,80
3,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,67,68,69,70,71,72,73,74,75,76,77,78,79,80
4,1,2,3,4,5,6,7,8,9,10,11,12,13,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,39,41,42,43,44,45,47,48,49,51,52,53,54,55,56,57,58,59,61,62,63,64,65,67,68,69,71,72,73,74,75,76,77,78,79,80
5,1,2,3,4,5,6,8,9,10,12,13,16,18,19,20,21,22,25,26,28,29,30,31,33,35,36,37,38,39,41,42,43,44,45,49,51,52,53,54,56,57,58,59,61,62,63,64,65,67,68,69,75,76,78,80
6,1,2,3,4,6,8,9,10,11,13,16,17,18,19,20,21,22,26,28,29,30,31,32,33,35,36,37,39,41,42,43,44,45,49,52,53,54,56,57,58,59,61,62,63,64,65,67,68,69,72,75,76,78,80
7,1,2,3,4,5,6,7,8,9,10,11,12,13,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,39,41,42,43,44,45,47,48,49,51,52,53,54,55,56,57,58,59,61,62,63,64,65,67,68,69,71,72,73,74,75,76,77,78,79,80
8,1,2,3,4,5,6,8,9,10,11,12,13,16,17,18,19,20,21,22,25,26,28,29,30,31,32,33,35,36,37,38,39,40,41,42,43,44,45,49,51,52,53,54,56,57,58,59,61,62,63,64,65,66,67,68,69,72,75,76,78,80
9,1,2,3,4,5,6,8,9,10,13,16,19,20,21,22,25,29,30,31,33,35,36,37,42,43,44,49,52,53,54,56,57,58,59,62,63,64,65,67,68,69,75,76,78
10,1,2,3,4,5,6,8,9,10,11,12,13,16,17,18,19,20,21,22,23,25,26,28,29,30,31,32,33,35,36,37,38,39,40,41,42,43,44,45,49,51,52,53,54,56,57,58,59,61,62,63,64,65,66,67,68,69,72,75,76,78,79,80
11,1,2,3,4,5,6,7,8,9,10,11,12,13,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,39,41,42,43,44,45,47,48,49,52,53,54,55,56,57,58,59,61,62,63,64,65,67,68,69,71,72,73,74,75,76,77,78,79,80
12,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,39,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,67,68,69,70,71,72,73,74,75,76,77,78,79,80
13,1,2,3,4,7,8,9,10,11,13,17,18,20,21,22,23,25,26,29,30,31,32,35,40,41,45,52,53,54,56,58,61,62,65,71,72,74,75,76,78,79,80
14,1,2,3,4,7,8,9,10,11,13,14,15,17,18,20,21,22,23,24,25,26,29,30,31,32,35,41,45,52,53,54,55,56,58,60,61,62,65,70,71,72,74,75,76,78,79,80
15,1,2,3,4,7,8,9,10,11,13,14,15,17,18,20,21,22,23,24,25,26,29,30,31,32,35,41,45,52,53,54,55,56,58,60,61,62,65,70,71,72,74,75,76,78,79,80
16,1,2,3,4,7,8,9,10,11,13,17,18,20,21,22,23,25,26,29,30,31,32,35,40,41,45,52,53,54,56,58,61,62,65,71,72,74,75,76,78,79,80
17,1,2,3,4,7,8,9,10,11,13,17,18,20,21,22,23,25,26,29,30,31,32,35,40,41,45,52,53,54,56,58,61,62,65,71,72,74,75,76,78,79,80
18,1,2,3,4,8,9,10,11,13,17,18,20,21,22,25,26,29,30,31,32,35,41,45,52,53,54,56,58,61,62,65,72,75,76,78,80
19,1,2,3,4,7,8,9,10,11,13,15,17,18,20,21,22,23,24,25,26,29,30,31,32,35,41,45,52,53,54,55,56,58,61,62,65,71,72,74,75,76,78,79,80
20,1,2,3,4,7,8,9,10,11,13,17,18,20,21,22,23,25,26,29,30,31,32,35,41,45,52,53,54,55,56,58,61,62,65,71,72,74,75,76,78,79,80
# for each cargo: cargo index, origin port, destination port, size, cost of not transporting, lb tw pu, ub tw pu, lb tw d, ub tw d
17,1,4,444,554227
18,1,4,444,554227
19,1,4,444,554227
20,1,4,444,554227
1,1,5,493,746019
2,1,5,493,746019
3,1,5,493,746019
4,1,5,493,746019
5,1,5,493,746019
6,1,5,493,746019
7,1,5,493,746019
8,1,5,493,746019
9,1,5,493,746019
10,1,5,493,746019
11,1,5,493,746019
12,1,5,493,746019
13,1,5,493,615183
14,1,5,493,615183
15,1,5,493,615183
16,1,5,493,615183
17,1,5,493,615183
18,1,5,493,615183
19,1,5,493,615183
20,1,5,493,615183
1,1,6,471,713747
2,1,6,471,713747
3,1,6,471,713747
4,1,6,471,713747
5,1,6,471,713747
6,1,6,471,713747
7,1,6,471,713747
8,1,6,471,713747
9,1,6,471,713747
10,1,6,471,713747
11,1,6,471,713747
12,1,6,471,713747
13,1,6,471,588571
14,1,6,471,588571
15,1,6,471,588571
16,1,6,471,588571
17,1,6,471,588571
18,1,6,471,588571
19,1,6,471,588571
20,1,6,471,588571
1,1,7,488,739301
2,1,7,488,739301
3,1,7,488,739301
4,1,7,488,739301
5,1,7,488,739301
6,1,7,488,739301
7,1,7,488,739301
8,1,7,488,739301
9,1,7,488,739301
10,1,7,488,739301
11,1,7,488,739301
12,1,7,488,739301
13,1,7,488,609644
14,1,7,488,609644
15,1,7,488,609644
16,1,7,488,609644
17,1,7,488,609644
18,1,7,488,609644
19,1,7,488,609644
20,1,7,488,609644
1,1,8,519,785384
2,1,8,519,785384
3,1,8,519,785384
4,1,8,519,785384
5,1,8,519,785384
6,1,8,519,785384
7,1,8,519,785384
8,1,8,519,785384
9,1,8,519,785384
10,1,8,519,785384
11,1,8,519,785384
12,1,8,519,785384
13,1,8,519,647645
14,1,8,519,647645
15,1,8,519,647645
16,1,8,519,647645
17,1,8,519,647645
18,1,8,519,647645
19,1,8,519,647645
20,1,8,519,647645
1,1,9,495,750231
2,1,9,495,750231
3,1,9,495,750231
4,1,9,495,750231
5,1,9,495,750231
6,1,9,495,750231
7,1,9,495,750231
8,1,9,495,750231
9,1,9,495,750231
10,1,9,495,750231
11,1,9,495,750231
12,1,9,495,750231
13,1,9,495,618657
14,1,9,495,618657
15,1,9,495,618657
16,1,9,495,618657
17,1,9,495,618657
18,1,9,495,618657
19,1,9,495,618657
20,1,9,495,618657
1,1,10,508,768975
2,1,10,508,768975
3,1,10,508,768975
4,1,10,508,768975
5,1,10,508,768975
6,1,10,508,768975
7,1,10,508,768975
8,1,10,508,768975
9,1,10,508,768975
10,1,10,508,768975
11,1,10,508,768975
12,1,10,508,768975
13,1,10,508,634113
14,1,10,508,634113
15,1,10,508,634113
16,1,10,508,634113
17,1,10,508,634113
18,1,10,508,634113
19,1,10,508,634113
20,1,10,508,634113
1,1,11,523,792098
2,1,11,523,792098
3,1,11,523,792098
4,1,11,523,792098
5,1,11,523,792098
6,1,11,523,792098
7,1,11,523,792098
8,1,11,523,792098
9,1,11,523,792098
10,1,11,523,792098
11,1,11,523,792098
12,1,11,523,792098
13,1,11,523,653181
14,1,11,523,653181
15,1,11,523,653181
16,1,11,523,653181
17,1,11,523,653181
18,1,11,523,653181
19,1,11,523,653181
20,1,11,523,653181
1,1,12,450,682228
2,1,12,450,682228
3,1,12,450,682228
4,1,12,450,682228
5,1,12,450,682228
6,1,12,450,682228
7,1,12,450,682228
8,1,12,450,682228
9,1,12,450,682228
10,1,12,450,682228
11,1,12,450,682228
12,1,12,450,682228
13,1,12,450,562580
14,1,12,450,562580
15,1,12,450,562580
16,1,12,450,562580
17,1,12,450,562580
18,1,12,450,562580
19,1,12,450,562580
20,1,12,450,562580
1,1,13,433,655699
2,1,13,433,655699
3,1,13,433,655699
4,1,13,433,655699
5,1,13,433,655699
6,1,13,433,655699
7,1,13,433,655699
8,1,13,433,655699
9,1,13,433,655699
10,1,13,433,655699
11,1,13,433,655699
12,1,13,433,655699
13,1,13,433,540704
14,1,13,433,540704
15,1,13,433,540704
16,1,13,433,540704
17,1,13,433,540704
18,1,13,433,540704
19,1,13,433,540704
20,1,13,433,540704
1,1,14,406,614188
2,1,14,406,614188
3,1,14,406,614188
4,1,14,406,614188
5,1,14,406,614188
6,1,14,406,614188
7,1,14,406,614188
8,1,14,406,614188
9,1,14,406,614188
10,1,14,406,614188
11,1,14,406,614188
12,1,14,406,614188
13,1,14,406,506473
14,1,14,406,506473
15,1,14,406,506473
16,1,14,406,506473
17,1,14,406,506473
18,1,14,406,506473
19,1,14,406,506473
20,1,14,406,506473
1,1,15,472,715063
2,1,15,472,715063
3,1,15,472,715063
4,1,15,472,715063
5,1,15,472,715063
6,1,15,472,715063
7,1,15,472,715063
8,1,15,472,715063
9,1,15,472,715063
10,1,15,472,715063
11,1,15,472,715063
12,1,15,472,715063
13,1,15,472,589656
14,1,15,472,589656
15,1,15,472,589656
16,1,15,472,589656
17,1,15,472,589656
18,1,15,472,589656
19,1,15,472,589656
20,1,15,472,589656
1,1,16,506,766509
2,1,16,506,766509
3,1,16,506,766509
4,1,16,506,766509
5,1,16,506,766509
6,1,16,506,766509
7,1,16,506,766509
8,1,16,506,766509
9,1,16,506,766509
10,1,16,506,766509
11,1,16,506,766509
12,1,16,506,766509
13,1,16,506,632080
14,1,16,506,632080
15,1,16,506,632080
16,1,16,506,632080
17,1,16,506,632080
18,1,16,506,632080
19,1,16,506,632080
20,1,16,506,632080
1,1,17,540,817590
2,1,17,540,817590
3,1,17,540,817590
4,1,17,540,817590
5,1,17,540,817590
6,1,17,540,817590
7,1,17,540,817590
8,1,17,540,817590
9,1,17,540,817590
10,1,17,540,817590
11,1,17,540,817590
12,1,17,540,817590
13,1,17,540,674203
14,1,17,540,674203
15,1,17,540,674203
16,1,17,540,674203
17,1,17,540,674203
18,1,17,540,674203
19,1,17,540,674203
20,1,17,540,674203
1,1,18,451,682406
2,1,18,451,682406
3,1,18,451,682406
4,1,18,451,682406
5,1,18,451,682406
6,1,18,451,682406
7,1,18,451,682406
8,1,18,451,682406
9,1,18,451,682406
10,1,18,451,682406
11,1,18,451,682406
12,1,18,451,682406
13,1,18,451,562727
14,1,18,451,562727
15,1,18,451,562727
16,1,18,451,562727
17,1,18,451,562727
18,1,18,451,562727
19,1,18,451,562727
20,1,18,451,562727
1,1,19,508,768975
2,1,19,508,768975
3,1,19,508,768975
4,1,19,508,768975
5,1,19,508,768975
6,1,19,508,768975
7,1,19,508,768975
8,1,19,508,768975
9,1,19,508,768975
10,1,19,508,768975
11,1,19,508,768975
12,1,19,508,768975
13,1,19,508,634113
14,1,19,508,634113
15,1,19,508,634113
16,1,19,508,634113
17,1,19,508,634113
18,1,19,508,634113
19,1,19,508,634113
20,1,19,508,634113
1,1,20,478,724233
2,1,20,478,724233
3,1,20,478,724233
4,1,20,478,724233
5,1,20,478,724233
6,1,20,478,724233
7,1,20,478,724233
8,1,20,478,724233
9,1,20,478,724233
10,1,20,478,724233
11,1,20,478,724233
12,1,20,478,724233
13,1,20,478,597219
14,1,20,478,597219
15,1,20,478,597219
16,1,20,478,597219
17,1,20,478,597219
18,1,20,478,597219
19,1,20,478,597219
20,1,20,478,597219
1,1,21,441,667909
2,1,21,441,667909
3,1,21,441,667909
4,1,21,441,667909
5,1,21,441,667909
6,1,21,441,667909
7,1,21,441,667909
8,1,21,441,667909
9,1,21,441,667909
10,1,21,441,667909
11,1,21,441,667909
12,1,21,441,667909
13,1,21,441,550772
14,1,21,441,550772
15,1,21,441,550772
16,1,21,441,550772
17,1,21,441,550772
18,1,21,441,550772
19,1,21,441,550772
20,1,21,441,550772
1,1,22,402,608730
2,1,22,402,608730
3,1,22,402,608730
4,1,22,402,608730
5,1,22,402,608730
6,1,22,402,608730
7,1,22,402,608730
8,1,22,402,608730
9,1,22,402,608730
10,1,22,402,608730
11,1,22,402,608730
12,1,22,402,608730
13,1,22,402,501972
14,1,22,402,501972
15,1,22,402,501972
16,1,22,402,501972
17,1,22,402,501972
18,1,22,402,501972
19,1,22,402,501972
20,1,22,402,501972
1,1,23,504,763795
2,1,23,504,763795
3,1,23,504,763795
4,1,23,504,763795
5,1,23,504,763795
6,1,23,504,763795
7,1,23,504,763795
8,1,23,504,763795
9,1,23,504,763795
10,1,23,504,763795
11,1,23,504,763795
12,1,23,504,763795
13,1,23,504,629842
14,1,23,504,629842
15,1,23,504,629842
16,1,23,504,629842
17,1,23,504,629842
18,1,23,504,629842
19,1,23,504,629842
20,1,23,504,629842
1,1,24,537,813635
2,1,24,537,813635
3,1,24,537,813635
4,1,24,537,813635
5,1,24,537,813635
6,1,24,537,813635
7,1,24,537,813635
8,1,24,537,813635
9,1,24,537,813635
10,1,24,537,813635
11,1,24,537,813635
12,1,24,537,813635
13,1,24,537,670941
14,1,24,537,670941
15,1,24,537,670941
16,1,24,537,670941
17,1,24,537,670941
18,1,24,537,670941
19,1,24,537,670941
20,1,24,537,670941
1,1,25,488,738626
2,1,25,488,738626
3,1,25,488,738626
4,1,25,488,738626
5,1,25,488,738626
6,1,25,488,738626
7,1,25,488,738626
8,1,25,488,738626
9,1,25,488,738626
10,1,25,488,738626
11,1,25,488,738626
12,1,25,488,738626
13,1,25,488,609087
14,1,25,488,609087
15,1,25,488,609087
16,1,25,488,609087
17,1,25,488,609087
18,1,25,488,609087
19,1,25,488,609087
20,1,25,488,609087
1,1,26,476,720562
2,1,26,476,720562
3,1,26,476,720562
4,1,26,476,720562
5,1,26,476,720562
6,1,26,476,720562
7,1,26,476,720562
8,1,26,476,720562
9,1,26,476,720562
10,1,26,476,720562
11,1,26,476,720562
12,1,26,476,720562
13,1,26,476,594191
14,1,26,476,594191
15,1,26,476,594191
16,1,26,476,594191
17,1,26,476,594191
18,1,26,476,594191
19,1,26,476,594191
20,1,26,476,594191
1,1,27,473,717148
2,1,27,473,717148
3,1,27,473,717148
4,1,27,473,717148
5,1,27,473,717148
6,1,27,473,717148
7,1,27,473,717148
8,1,27,473,717148
9,1,27,473,717148
10,1,27,473,717148
11,1,27,473,717148
12,1,27,473,717148
13,1,27,473,591376
14,1,27,473,591376
15,1,27,473,591376
16,1,27,473,591376
17,1,27,473,591376
18,1,27,473,591376
19,1,27,473,591376
20,1,27,473,591376
1,1,28,421,637568
2,1,28,421,637568
3,1,28,421,637568
4,1,28,421,637568
5,1,28,421,637568
6,1,28,421,637568
7,1,28,421,637568
8,1,28,421,637568
9,1,28,421,637568
10,1,28,421,637568
11,1,28,421,637568
12,1,28,421,637568
13,1,28,421,525752
14,1,28,421,525752
15,1,28,421,525752
16,1,28,421,525752
17,1,28,421,525752
18,1,28,421,525752
19,1,28,421,525752
20,1,28,421,525752
1,1,29,475,719499
2,1,29,475,719499
3,1,29,475,719499
4,1,29,475,719499
5,1,29,475,719499
6,1,29,475,719499
7,1,29,475,719499
8,1,29,475,719499
9,1,29,475,719499
10,1,29,475,719499
11,1,29,475,719499
12,1,29,475,719499
13,1,29,475,593314
14,1,29,475,593314
15,1,29,475,593314
16,1,29,475,593314
17,1,29,475,593314
18,1,29,475,593314
19,1,29,475,593314
20,1,29,475,593314
1,1,30,474,717515
2,1,30,474,717515
3,1,30,474,717515
4,1,30,474,717515
5,1,30,474,717515
6,1,30,474,717515
7,1,30,474,717515
8,1,30,474,717515
9,1,30,474,717515
10,1,30,474,717515
11,1,30,474,717515
12,1,30,474,717515
