#----------------------------------------------------------------
# Generated using instance generator version v. 1.0.0
# Data set: 1 (=SHORTSEA)
# Vessel types: 2,3
# Vessel count: 15,15
# Number of cargoes: 70
# Cargo sizes: 4
# Time windows: 2
# Regional flow: 1
# Market condition: 1
# Instance number: 5 (out of 5)
#----------------------------------------------------------------

# number of ports
39
# number of vessels
30
# for each vessel: vessel index, home port, starting time, capacity
1,8,53,100
2,13,70,100
3,31,78,100
4,14,0,100
5,12,0,100
6,12,0,100
7,27,0,100
8,38,47,100
9,19,0,100
10,17,47,100
11,24,113,100
12,32,0,100
13,9,185,100
14,31,80,100
15,16,0,100
16,22,217,100
17,19,45,100
18,3,56,100
19,37,150,100
20,20,218,100
21,20,209,100
22,28,0,100
23,36,0,100
24,24,100,100
25,6,21,100
26,27,284,100
27,4,0,100
28,30,0,100
29,34,0,100
30,37,0,100
# number of cargoes
70
# for each vessel, vessel index, and then a list of cargoes that can be transported using that vessel
1,1,3,4,7,9,10,11,13,15,16,17,18,19,20,21,22,23,24,26,27,29,30,31,32,33,34,35,36,37,38,40,41,42,43,44,45,46,47,49,50,51,52,54,56,59,60,62,63,64,65,68,70
2,1,3,4,9,10,11,13,15,16,17,18,19,20,21,22,23,24,26,27,29,30,31,32,33,35,36,37,38,40,41,42,43,44,45,46,47,49,50,51,52,54,56,59,60,62,63,64,65,66,68,70
3,1,3,4,8,9,10,11,13,16,17,18,19,20,21,22,23,24,26,27,29,30,31,32,33,35,36,37,38,41,43,44,45,46,47,49,50,51,52,54,56,57,59,60,62,63,64,65,66,68,70
4,1,2,3,4,5,7,8,9,10,11,12,13,15,16,17,18,19,20,21,22,23,24,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,54,56,57,58,59,60,62,63,64,65,66,67,68,69,70
5,1,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,29,30,31,32,33,35,36,37,38,39,40,41,42,43,44,45,46,47,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70
6,1,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,29,30,31,32,33,35,36,37,38,39,40,41,42,43,44,45,46,47,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70
7,1,2,3,4,7,9,10,11,12,13,15,16,17,18,19,20,21,22,23,24,26,27,28,29,30,31,32,33,34,35,36,37,38,40,41,42,43,44,45,46,47,48,49,50,51,52,54,56,59,60,62,63,64,65,66,67,68,70
8,1,3,4,8,10,13,16,17,19,20,21,22,23,24,26,27,29,30,31,32,33,35,36,37,38,41,43,44,45,46,47,49,50,51,52,54,56,59,60,62,64,68,70
9,1,2,3,4,7,8,9,10,11,12,13,15,16,17,18,19,20,21,22,23,24,26,27,28,29,30,31,32,33,34,35,36,37,38,40,41,42,43,44,45,46,47,48,49,50,51,52,54,56,59,60,62,63,64,65,66,67,68,70
10,1,2,3,4,7,9,10,11,13,15,16,17,18,19,20,21,22,23,24,26,27,28,29,30,31,32,33,34,35,36,37,38,40,41,42,43,44,45,46,47,48,49,50,51,52,54,56,59,60,62,63,65,68,70
11,1,3,4,10,11,13,16,17,18,19,20,21,23,24,26,27,29,30,31,32,33,35,36,37,38,40,41,42,43,44,45,46,47,49,50,51,52,54,56,60,62,63,68,70
12,1,2,3,4,5,7,8,9,10,11,12,13,15,16,17,18,19,20,21,22,23,24,26,27,28,29,30,31,32,33,34,35,36,37,38,40,41,42,43,44,45,46,47,48,49,50,51,52,54,56,57,58,59,60,62,63,64,65,66,67,68,69,70
13,1,3,4,10,11,13,16,19,20,21,23,24,26,27,29,30,32,33,35,36,37,38,41,43,44,45,46,47,49,50,51,52,54,56,60,62,63,68,70
14,1,3,4,8,9,10,11,13,16,17,18,19,20,21,22,23,24,26,27,29,30,31,32,33,35,36,37,38,41,43,44,45,46,47,49,50,51,52,54,56,59,60,62,63,64,65,66,68,70
15,1,2,3,4,5,7,8,9,10,11,12,13,15,16,17,18,19,20,21,22,23,24,26,27,28,29,30,31,32,33,34,35,36,37,38,40,41,42,43,44,45,46,47,48,49,50,51,52,54,56,57,58,59,60,62,63,64,65,66,67,68,69,70
16,1,3,4,10,13,16,19,20,21,23,24,26,27,29,30,32,33,35,36,37,38,41,43,44,45,46,47,49,50,51,52,54,56,60,62,63,68,70
17,1,3,4,9,10,11,13,15,16,17,18,19,20,21,22,23,24,26,27,29,30,31,32,33,35,36,37,38,40,41,42,43,44,45,46,47,49,50,51,52,54,56,59,60,62,63,65,67,68,70
18,1,3,4,9,10,11,12,13,15,16,17,18,19,20,21,22,23,24,26,27,29,30,31,32,33,35,36,37,38,40,41,42,43,44,45,46,47,49,50,51,52,54,56,59,60,62,63,65,68,70
19,1,3,4,10,13,16,19,20,21,23,24,26,27,29,32,33,35,36,38,41,44,45,46,47,49,50,51,52,54,56,60,62,68,70
20,1,3,4,10,13,16,17,19,20,21,23,24,26,27,29,30,31,32,33,35,36,37,38,41,43,44,45,46,47,49,50,51,52,54,56,60,62,68,70
21,1,3,4,10,13,16,17,19,20,21,23,24,26,27,29,30,31,32,33,35,36,37,38,41,43,44,45,46,47,49,50,51,52,54,56,60,62,68,70
22,1,3,4,5,7,8,9,10,11,12,13,15,16,17,18,19,20,21,22,23,24,26,27,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,49,50,51,52,54,56,57,58,59,60,62,63,64,65,66,67,68,69,70
23,1,3,4,5,8,10,13,16,17,19,20,21,22,23,24,26,27,29,30,31,32,33,35,36,37,38,41,43,44,45,46,47,49,50,51,52,53,54,55,56,57,59,60,62,63,64,66,68,70
24,1,3,4,10,11,13,16,17,18,19,20,21,23,24,26,27,29,30,31,32,33,35,36,37,38,40,41,42,43,44,45,46,47,49,50,51,52,54,56,60,62,63,65,68,70
25,1,3,4,7,9,10,11,12,13,15,16,17,18,19,20,21,22,23,24,26,27,29,30,31,32,33,34,35,36,37,38,40,41,42,43,44,45,46,47,49,50,51,52,54,56,59,60,62,63,64,65,66,67,68,70
26,1,3,4,10,13,16,20,21,23,24,26,27,29,30,32,33,35,36,38,41,43,44,46,47,49,50,52,56,60,62,68,70
27,1,3,4,5,6,8,9,10,11,13,14,16,17,18,19,20,21,22,23,24,25,26,27,29,30,31,32,33,35,36,37,38,39,41,43,44,45,46,47,49,50,51,52,53,54,55,56,57,59,60,61,62,63,64,65,66,68,69,70
28,1,3,4,5,6,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,29,30,31,32,33,35,36,37,38,39,40,41,42,43,44,45,46,47,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,68,69,70
29,1,3,4,5,8,10,13,16,17,19,20,21,22,23,24,26,27,29,30,31,32,33,35,36,37,38,41,43,44,45,46,47,49,50,51,52,54,56,57,59,60,62,63,64,66,68,70
30,1,3,4,5,8,10,13,16,17,19,20,21,22,23,24,26,27,29,30,31,32,33,35,36,37,38,41,43,44,45,46,47,49,50,51,52,54,56,59,60,62,64,68,70
# for each cargo: cargo index, origin port, destination port, size, cost of not transporting, lb tw pu, ub tw pu, lb tw d, ub tw d
19,12,19,85,56907
20,12,19,85,56907
21,12,19,85,56907
22,12,19,85,56907
23,12,19,85,56907
24,12,19,85,56907
25,12,19,85,56907
26,12,19,85,56907
27,12,19,85,56907
28,12,19,85,56907
29,12,19,85,56907
30,12,19,85,56907
1,12,20,47,27458
2,12,20,47,27458
3,12,20,47,27458
4,12,20,47,27458
5,12,20,47,27458
6,12,20,47,27458
7,12,20,47,27458
8,12,20,47,27458
9,12,20,47,27458
10,12,20,47,27458
11,12,20,47,27458
12,12,20,47,27458
13,12,20,47,27458
14,12,20,47,27458
15,12,20,47,27458
16,12,20,56,37631
17,12,20,56,37631
18,12,20,56,37631
19,12,20,56,37631
20,12,20,56,37631
21,12,20,56,37631
22,12,20,56,37631
23,12,20,56,37631
24,12,20,56,37631
25,12,20,56,37631
26,12,20,56,37631
27,12,20,56,37631
28,12,20,56,37631
29,12,20,56,37631
30,12,20,56,37631
1,12,21,48,28484
2,12,21,48,28484
3,12,21,48,28484
4,12,21,48,28484
5,12,21,48,28484
6,12,21,48,28484
7,12,21,48,28484
8,12,21,48,28484
9,12,21,48,28484
10,12,21,48,28484
11,12,21,48,28484
12,12,21,48,28484
13,12,21,48,28484
14,12,21,48,28484
15,12,21,48,28484
16,12,21,58,39036
17,12,21,58,39036
18,12,21,58,39036
19,12,21,58,39036
20,12,21,58,39036
21,12,21,58,39036
22,12,21,58,39036
23,12,21,58,39036
24,12,21,58,39036
25,12,21,58,39036
26,12,21,58,39036
27,12,21,58,39036
28,12,21,58,39036
29,12,21,58,39036
30,12,21,58,39036
1,12,22,74,43542
2,12,22,74,43542
3,12,22,74,43542
4,12,22,74,43542
5,12,22,74,43542
6,12,22,74,43542
7,12,22,74,43542
8,12,22,74,43542
9,12,22,74,43542
10,12,22,74,43542
11,12,22,74,43542
12,12,22,74,43542
13,12,22,74,43542
14,12,22,74,43542
15,12,22,74,43542
16,12,22,89,59672
17,12,22,89,59672
18,12,22,89,59672
19,12,22,89,59672
20,12,22,89,59672
21,12,22,89,59672
22,12,22,89,59672
23,12,22,89,59672
24,12,22,89,59672
25,12,22,89,59672
26,12,22,89,59672
27,12,22,89,59672
28,12,22,89,59672
29,12,22,89,59672
30,12,22,89,59672
1,12,23,72,42581
2,12,23,72,42581
3,12,23,72,42581
4,12,23,72,42581
5,12,23,72,42581
6,12,23,72,42581
7,12,23,72,42581
8,12,23,72,42581
9,12,23,72,42581
10,12,23,72,42581
11,12,23,72,42581
12,12,23,72,42581
13,12,23,72,42581
14,12,23,72,42581
15,12,23,72,42581
16,12,23,87,58356
17,12,23,87,58356
18,12,23,87,58356
19,12,23,87,58356
20,12,23,87,58356
21,12,23,87,58356
22,12,23,87,58356
23,12,23,87,58356
24,12,23,87,58356
25,12,23,87,58356
26,12,23,87,58356
27,12,23,87,58356
28,12,23,87,58356
29,12,23,87,58356
30,12,23,87,58356
1,12,24,74,43542
2,12,24,74,43542
3,12,24,74,43542
4,12,24,74,43542
5,12,24,74,43542
6,12,24,74,43542
7,12,24,74,43542
8,12,24,74,43542
9,12,24,74,43542
10,12,24,74,43542
11,12,24,74,43542
12,12,24,74,43542
13,12,24,74,43542
14,12,24,74,43542
15,12,24,74,43542
16,12,24,89,59672
17,12,24,89,59672
18,12,24,89,59672
19,12,24,89,59672
20,12,24,89,59672
21,12,24,89,59672
22,12,24,89,59672
23,12,24,89,59672
24,12,24,89,59672
25,12,24,89,59672
26,12,24,89,59672
27,12,24,89,59672
28,12,24,89,59672
29,12,24,89,59672
30,12,24,89,59672
1,12,25,49,28968
2,12,25,49,28968
3,12,25,49,28968
4,12,25,49,28968
5,12,25,49,28968
6,12,25,49,28968
7,12,25,49,28968
8,12,25,49,28968
9,12,25,49,28968
10,12,25,49,28968
11,12,25,49,28968
12,12,25,49,28968
13,12,25,49,28968
14,12,25,49,28968
15,12,25,49,28968
16,12,25,59,39699
17,12,25,59,39699
18,12,25,59,39699
19,12,25,59,39699
20,12,25,59,39699
21,12,25,59,39699
22,12,25,59,39699
23,12,25,59,39699
24,12,25,59,39699
25,12,25,59,39699
26,12,25,59,39699
27,12,25,59,39699
28,12,25,59,39699
29,12,25,59,39699
30,12,25,59,39699
1,12,26,40,23353
2,12,26,40,23353
3,12,26,40,23353
4,12,26,40,23353
5,12,26,40,23353
6,12,26,40,23353
7,12,26,40,23353
8,12,26,40,23353
9,12,26,40,23353
10,12,26,40,23353
11,12,26,40,23353
12,12,26,40,23353
13,12,26,40,23353
14,12,26,40,23353
15,12,26,40,23353
16,12,26,48,32004
17,12,26,48,32004
18,12,26,48,32004
19,12,26,48,32004
20,12,26,48,32004
21,12,26,48,32004
22,12,26,48,32004
23,12,26,48,32004
24,12,26,48,32004
25,12,26,48,32004
26,12,26,48,32004
27,12,26,48,32004
28,12,26,48,32004
29,12,26,48,32004
30,12,26,48,32004
1,12,27,89,52549
2,12,27,89,52549
3,12,27,89,52549
4,12,27,89,52549
5,12,27,89,52549
6,12,27,89,52549
7,12,27,89,52549
8,12,27,89,52549
9,12,27,89,52549
10,12,27,89,52549
11,12,27,89,52549
12,12,27,89,52549
13,12,27,89,52549
14,12,27,89,52549
15,12,27,89,52549
16,12,27,108,72017
17,12,27,108,72017
18,12,27,108,72017
19,12,27,108,72017
20,12,27,108,72017
21,12,27,108,72017
22,12,27,108,72017
23,12,27,108,72017
24,12,27,108,72017
25,12,27,108,72017
26,12,27,108,72017
27,12,27,108,72017
28,12,27,108,72017
29,12,27,108,72017
30,12,27,108,72017
1,12,28,22,12848
2,12,28,22,12848
3,12,28,22,12848
4,12,28,22,12848
5,12,28,22,12848
6,12,28,22,12848
7,12,28,22,12848
8,12,28,22,12848
9,12,28,22,12848
10,12,28,22,12848
11,12,28,22,12848
12,12,28,22,12848
13,12,28,22,12848
14,12,28,22,12848
15,12,28,22,12848
16,12,28,26,17608
17,12,28,26,17608
18,12,28,26,17608
19,12,28,26,17608
20,12,28,26,17608
21,12,28,26,17608
22,12,28,26,17608
23,12,28,26,17608
24,12,28,26,17608
25,12,28,26,17608
26,12,28,26,17608
27,12,28,26,17608
28,12,28,26,17608
29,12,28,26,17608
30,12,28,26,17608
1,12,29,93,54608
2,12,29,93,54608
3,12,29,93,54608
4,12,29,93,54608
5,12,29,93,54608
6,12,29,93,54608
7,12,29,93,54608
8,12,29,93,54608
9,12,29,93,54608
10,12,29,93,54608
11,12,29,93,54608
12,12,29,93,54608
13,12,29,93,54608
14,12,29,93,54608
15,12,29,93,54608
16,12,29,112,74839
17,12,29,112,74839
18,12,29,112,74839
19,12,29,112,74839
20,12,29,112,74839
21,12,29,112,74839
22,12,29,112,74839
23,12,29,112,74839
24,12,29,112,74839
25,12,29,112,74839
26,12,29,112,74839
27,12,29,112,74839
28,12,29,112,74839
29,12,29,112,74839
30,12,29,112,74839
1,12,30,14,7999
2,12,30,14,7999
3,12,30,14,7999
4,12,30,14,7999
5,12,30,14,7999
6,12,30,14,7999
7,12,30,14,7999
8,12,30,14,7999
9,12,30,14,7999
10,12,30,14,7999
11,12,30,14,7999
12,12,30,14,7999
13,12,30,14,7999
14,12,30,14,7999
15,12,30,14,7999
16,12,30,16,10963
17,12,30,16,10963
18,12,30,16,10963
19,12,30,16,10963
20,12,30,16,10963
21,12,30,16,10963
22,12,30,16,10963
23,12,30,16,10963
24,12,30,16,10963
25,12,30,16,10963
26,12,30,16,10963
27,12,30,16,10963
28,12,30,16,10963
29,12,30,16,10963
30,12,30,16,10963
1,12,31,32,18634
2,12,31,32,18634
3,12,31,32,18634
4,12,31,32,18634
5,12,31,32,18634
6,12,31,32,18634
7,12,31,32,18634
8,12,31,32,18634
9,12,31,32,18634
10,12,31,32,18634
11,12,31,32,18634
12,12,31,32,18634
13,12,31,32,18634
14,12,31,32,18634
15,12,31,32,18634
16,12,31,38,25538
17,12,31,38,25538
18,12,31,38,25538
19,12,31,38,25538
20,12,31,38,25538
21,12,31,38,25538
22,12,31,38,25538
23,12,31,38,25538
24,12,31,38,25538
25,12,31,38,25538
26,12,31,38,25538
27,12,31,38,25538
28,12,31,38,25538
29,12,31,38,25538
30,12,31,38,25538
1,12,32,54,31982
2,12,32,54,31982
3,12,32,54,31982
4,12,32,54,31982
5,12,32,54,31982
6,12,32,54,31982
7,12,32,54,31982
8,12,32,54,31982
9,12,32,54,31982
10,12,32,54,31982
11,12,32,54,31982
12,12,32,54,31982
13,12,32,54,31982
14,12,32,54,31982
15,12,32,54,31982
16,12,32,66,43831
17,12,32,66,43831
18,12,32,66,43831
19,12,32,66,43831
20,12,32,66,43831
21,12,32,66,43831
22,12,32,66,43831
23,12,32,66,43831
24,12,32,66,43831
25,12,32,66,43831
26,12,32,66,43831
27,12,32,66,43831
28,12,32,66,43831
29,12,32,66,43831
30,12,32,66,43831
1,12,33,63,37336
2,12,33,63,37336
3,12,33,63,37336
4,12,33,63,37336
5,12,33,63,37336
6,12,33,63,37336
7,12,33,63,37336
8,12,33,63,37336
9,12,33,63,37336
10,12,33,63,37336
11,12,33,63,37336
12,12,33,63,37336
13,12,33,63,37336
14,12,33,63,37336
15,12,33,63,37336
16,12,33,76,51168
17,12,33,76,51168
18,12,33,76,51168
19,12,33,76,51168
20,12,33,76,51168
21,12,33,76,51168
22,12,33,76,51168
23,12,33,76,51168
24,12,33,76,51168
25,12,33,76,51168
26,12,33,76,51168
27,12,33,76,51168
28,12,33,76,51168
29,12,33,76,51168
30,12,33,76,51168
1,12,34,126,74139
2,12,34,126,74139
3,12,34,126,74139
4,12,34,126,74139
5,12,34,126,74139
6,12,34,126,74139
7,12,34,126,74139
8,12,34,126,74139
9,12,34,126,74139
10,12,34,126,74139
11,12,34,126,74139
12,12,34,126,74139
13,12,34,126,74139
14,12,34,126,74139
15,12,34,126,74139
16,12,34,152,101605
17,12,34,152,101605
18,12,34,152,101605
19,12,34,152,101605
20,12,34,152,101605
21,12,34,152,101605
22,12,34,152,101605
23,12,34,152,101605
24,12,34,152,101605
25,12,34,152,101605
26,12,34,152,101605
27,12,34,152,101605
28,12,34,152,101605
29,12,34,152,101605
30,12,34,152,101605
1,12,35,162,95302
2,12,35,162,95302
3,12,35,162,95302
4,12,35,162,95302
5,12,35,162,95302
6,12,35,162,95302
7,12,35,162,95302
8,12,35,162,95302
9,12,35,162,95302
10,12,35,162,95302
11,12,35,162,95302
12,12,35,162,95302
13,12,35,162,95302
14,12,35,162,95302
15,12,35,162,95302
16,12,35,195,130609
17,12,35,195,130609
18,12,35,195,130609
19,12,35,195,130609
20,12,35,195,130609
21,12,35,195,130609
22,12,35,195,130609
23,12,35,195,130609
24,12,35,195,130609
25,12,35,195,130609
26,12,35,195,130609
27,12,35,195,130609
28,12,35,195,130609
29,12,35,195,130609
30,12,35,195,130609
1,12,36,123,72530
2,12,36,123,72530
3,12,36,123,72530
4,12,36,123,72530
5,12,36,123,72530
6,12,36,123,72530
7,12,36,123,72530
8,12,36,123,72530
9,12,36,123,72530
10,12,36,123,72530
11,12,36,123,72530
12,12,36,123,72530
13,12,36,123,72530
14,12,36,123,72530
15,12,36,123,72530
16,12,36,149,99400
17,12,36,149,99400
18,12,36,149,99400
19,12,36,149,99400
20,12,36,149,99400
21,12,36,149,99400
22,12,36,149,99400
23,12,36,149,99400
24,12,36,149,99400
25,12,36,149,99400
26,12,36,149,99400
27,12,36,149,99400
28,12,36,149,99400
29,12,36,149,99400
30,12,36,149,99400
1,12,37,178,105064
2,12,37,178,105064
3,12,37,178,105064
4,12,37,178,105064
5,12,37,178,105064
6,12,37,178,105064
7,12,37,178,105064
8,12,37,178,105064
9,12,37,178,105064
10,12,37,178,105064
11,12,37,178,105064
12,12,37,178,105064
13,12,37,178,105064
14,12,37,178,105064
15,12,37,178,105064
16,12,37,215,143987
17,12,37,215,143987
18,12,37,215,143987
19,12,37,215,143987
20,12,37,215,143987
21,12,37,215,143987
22,12,37,215,143987
23,12,37,215,143987
24,12,37,215,143987
25,12,37,215,143987
26,12,37,215,143987
27,12,37,215,143987
28,12,37,215,143987
29,12,37,215,143987
30,12,37,215,143987
1,12,38,173,101890
2,12,38,173,101890
3,12,38,173,101890
4,12,38,173,101890
5,12,38,173,101890
6,12,38,173,101890
7,12,38,173,101890
8,12,38,173,101890
9,12,38,173,101890
10,12,38,173,101890
11,12,38,173,101890
12,12,38,173,101890
13,12,38,173,101890
14,12,38,173,101890
15,12,38,173,101890
16,12,38,209,139637
17,12,38,209,139637
18,12,38,209,139637
19,12,38,209,139637
20,12,38,209,139637
21,12,38,209,139637
22,12,38,209,139637
23,12,38,209,139637
24,12,38,209,139637
25,12,38,209,139637
26,12,38,209,139637
27,12,38,209,139637
28,12,38,209,139637
29,12,38,209,139637
30,12,38,209,139637
1,12,39,124,73302
2,12,39,124,73302
3,12,39,124,73302
4,12,39,124,73302
5,12,39,124,73302
6,12,39,124,73302
7,12,39,124,73302
8,12,39,124,73302
9,12,39,124,73302
10,12,39,124,73302
11,12,39,124,73302
12,12,39,124,73302
13,12,39,124,73302
14,12,39,124,73302
15,12,39,124,73302
16,12,39,150,100458
17,12,39,150,100458
18,12,39,150,100458
19,12,39,150,100458
20,12,39,150,100458
21,12,39,150,100458
22,12,39,150,100458
23,12,39,150,100458
24,12,39,150,100458
25,12,39,150,100458
26,12,39,150,100458
27,12,39,150,100458
28,12,39,150,100458
29,12,39,150,100458
30,12,39,150,100458
1,13,1,54,31987
2,13,1,54,31987
3,13,1,54,31987
4,13,1,54,31987
5,13,1,54,31987
6,13,1,54,31987
7,13,1,54,31987
8,13,1,54,31987
9,13,1,54,31987
10,13,1,54,31987
11,13,1,54,31987
12,13,1,54,31987
13,13,1,54,31987
14,13,1,54,31987
15,13,1,54,31987
16,13,1,66,43837
17,13,1,66,43837
18,13,1,66,43837
19,13,1,66,43837
20,13,1,66,43837
21,13,1,66,43837
22,13,1,66,43837
23,13,1,66,43837
24,13,1,66,43837
25,13,1,66,43837
26,13,1,66,43837
27,13,1,66,43837
28,13,1,66,43837
29,13,1,66,43837
30,13,1,66,43837
1,13,2,17,9848
2,13,2,17,9848
3,13,2,17,9848
4,13,2,17,9848
5,13,2,17,9848
6,13,2,17,9848
7,13,2,17,9848
8,13,2,17,9848
9,13,2,17,9848
10,13,2,17,9848
11,13,2,17,9848
12,13,2,17,9848
13,13,2,17,9848
14,13,2,17,9848
15,13,2,17,9848
16,13,2,20,13497
17,13,2,20,13497
18,13,2,20,13497
19,13,2,20,13497
20,13,2,20,13497
21,13,2,20,13497
22,13,2,20,13497
23,13,2,20,13497
24,13,2,20,13497
25,13,2,20,13497
26,13,2,20,13497
27,13,2,20,13497
28,13,2,20,13497
29,13,2,20,13497
30,13,2,20,13497
1,13,3,40,23501
2,13,3,40,23501
3,13,3,40,23501
4,13,3,40,23501
5,13,3,40,23501
6,13,3,40,23501
7,13,3,40,23501
8,13,3,40,23501
9,13,3,40,23501
10,13,3,40,23501
11,13,3,40,23501
12,13,3,40,23501
13,13,3,40,23501
14,13,3,40,23501
15,13,3,40,23501
16,13,3,48,32207
17,13,3,48,32207
18,13,3,48,32207
19,13,3,48,32207
20,13,3,48,32207
21,13,3,48,32207
22,13,3,48,32207
23,13,3,48,32207
24,13,3,48,32207
25,13,3,48,32207
26,13,3,48,32207
27,13,3,48,32207
28,13,3,48,32207
29,13,3,48,32207
30,13,3,48,32207
1,13,4,83,48694
2,13,4,83,48694
3,13,4,83,48694
4,13,4,83,48694
5,13,4,83,48694
6,13,4,83,48694
7,13,4,83,48694
8,13,4,83,48694
9,13,4,83,48694
10,13,4,83,48694
11,13,4,83,48694
12,13,4,83,48694
13,13,4,83,48694
14,13,4,83,48694
15,13,4,83,48694
16,13,4,100,66734
17,13,4,100,66734
18,13,4,100,66734
19,13,4,100,66734
20,13,4,100,66734
21,13,4,100,66734
22,13,4,100,66734
23,13,4,100,66734
24,13,4,100,66734
25,13,4,100,66734
26,13,4,100,66734
27,13,4,100,66734
28,13,4,100,66734
29,13,4,100,66734
30,13,4,100,66734
1,13,5,36,21014
2,13,5,36,21014
3,13,5,36,21014
4,13,5,36,21014
5,13,5,36,21014
6,13,5,36,21014
7,13,5,36,21014
8,13,5,36,21014
9,13,5,36,21014
10,13,5,36,21014
11,13,5,36,21014
12,13,5,36,21014
13,13,5,36,21014
14,13,5,36,21014
15,13,5,36,21014
16,13,5,43,28800
17,13,5,43,28800
18,13,5,43,28800
19,13,5,43,28800
20,13,5,43,28800
21,13,5,43,28800
22,13,5,43,28800
23,13,5,43,28800
24,13,5,43,28800
25,13,5,43,28800
26,13,5,43,28800
27,13,5,43,28800
28,13,5,43,28800
29,13,5,43,28800
30,13,5,43,28800
1,13,6,39,22859
2,13,6,39,22859
3,13,6,39,22859
4,13,6,39,22859
5,13,6,39,22859
6,13,6,39,22859
7,13,6,39,22859
8,13,6,39,22859
9,13,6,39,22859
10,13,6,39,22859
11,13,6,39,22859
12,13,6,39,22859
13,13,6,39,22859
14,13,6,39,22859
15,13,6,39,22859
16,13,6,47,31328
17,13,6,47,31328
18,13,6,47,31328
19,13,6,47,31328
20,13,6,47,31328
21,13,6,47,31328
22,13,6,47,31328
23,13,6,47,31328
24,13,6,47,31328
25,13,6,47,31328
26,13,6,47,31328
27,13,6,47,31328
28,13,6,47,31328
29,13,6,47,31328
30,13,6,47,31328
1,13,7,35,20883
2,13,7,35,20883
3,13,7,35,20883
4,13,7,35,20883
5,13,7,35,20883
6,13,7,35,20883
7,13,7,35,20883
8,13,7,35,20883
9,13,7,35,20883
10,13,7,35,20883
11,13,7,35,20883
12,13,7,35,20883
13,13,7,35,20883
14,13,7,35,20883
15,13,7,35,20883
16,13,7,43,28620
17,13,7,43,28620
18,13,7,43,28620
19,13,7,43,28620
20,13,7,43,28620
21,13,7,43,28620
22,13,7,43,28620
23,13,7,43,28620
24,13,7,43,28620
25,13,7,43,28620
26,13,7,43,28620
27,13,7,43,28620
28,13,7,43,28620
29,13,7,43,28620
30,13,7,43,28620
1,13,8,57,33628
2,13,8,57,33628
3,13,8,57,33628
4,13,8,57,33628
5,13,8,57,33628
6,13,8,57,33628
7,13,8,57,33628
8,13,8,57,33628
9,13,8,57,33628
10,13,8,57,33628
11,13,8,57,33628
12,13,8,57,33628
13,13,8,57,33628
14,13,8,57,33628
15,13,8,57,33628
16,13,8,69,46086
17,13,8,69,46086
18,13,8,69,46086
19,13,8,69,46086
20,13,8,69,46086
21,13,8,69,46086
22,13,8,69,46086
23,13,8,69,46086
24,13,8,69,46086
25,13,8,69,46086
26,13,8,69,46086
27,13,8,69,46086
28,13,8,69,46086
29,13,8,69,46086
30,13,8,69,46086
1,13,9,99,58327
2,13,9,99,58327
3,13,9,99,58327
4,13,9,99,58327
5,13,9,99,58327
6,13,9,99,58327
7,13,9,99,58327
8,13,9,99,58327
9,13,9,99,58327
10,13,9,99,58327
11,13,9,99,58327
12,13,9,99,58327
13,13,9,99,58327
14,13,9,99,58327
15,13,9,99,58327
16,13,9,119,79935
17,13,9,119,79935
18,13,9,119,79935
19,13,9,119,79935
20,13,9,119,79935
21,13,9,119,79935
22,13,9,119,79935
23,13,9,119,79935
24,13,9,119,79935
25,13,9,119,79935
26,13,9,119,79935
27,13,9,119,79935
28,13,9,119,79935
29,13,9,119,79935
30,13,9,119,79935
1,13,10,66,38961
2,13,10,66,38961
3,13,10,66,38961
4,13,10,66,38961
5,13,10,66,38961
6,13,10,66,38961
7,13,10,66,38961
8,13,10,66,38961
9,13,10,66,38961
10,13,10,66,38961
11,13,10,66,38961
12,13,10,66,38961
13,13,10,66,38961
14,13,10,66,38961
15,13,10,66,38961
16,13,10,80,53395
17,13,10,80,53395
18,13,10,80,53395
19,13,10,80,53395
20,13,10,80,53395
21,13,10,80,53395
22,13,10,80,53395
23,13,10,80,53395
24,13,10,80,53395
25,13,10,80,53395
26,13,10,80,53395
27,13,10,80,53395
28,13,10,80,53395
29,13,10,80,53395
30,13,10,80,53395
1,13,11,60,35463
2,13,11,60,35463
3,13,11,60,35463
4,13,11,60,35463
5,13,11,60,35463
6,13,11,60,35463
7,13,11,60,35463
8,13,11,60,35463
9,13,11,60,35463
10,13,11,60,35463
11,13,11,60,35463
12,13,11,60,35463
13,13,11,60,35463
14,13,11,60,35463
15,13,11,60,35463
16,13,11,73,48601
17,13,11,73,48601
18,13,11,73,48601
19,13,11,73,48601
20,13,11,73,48601
21,13,11,73,48601
22,13,11,73,48601
23,13,11,73,48601
24,13,11,73,48601
25,13,11,73,48601
26,13,11,73,48601
27,13,11,73,48601
28,13,11,73,48601
29,13,11,73,48601
